typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.37069887
1,1334,13,0.009745127436281859,0.3738545
2,345,11,0.03188405797101449,0.38451725
3,1870,1,0.0005347593582887701,0.36999813
4,394,8,0.02030456852791878,0.39163092
5,656,0,0.0,0.3511828
6,529,0,0.0,0.37235218
7,338,0,0.0,0.34923676
8,382,0,0.0,0.34365103
9,364,0,0.0,0.36824393
10,506,0,0.0,0.36735618
11,54,0,0.0,0.3082523
12,945,0,0.0,0.37608966
13,250,0,0.0,0.3417354
14,383,0,0.0,0.3491657
15,354,0,0.0,0.3720037
16,237,0,0.0,0.37573752
