condition,reference,comparison,metric,seed,difference
drift,fedtypo_noreg,ablate_g3,auprc,46,-4.066834548799997e-05
drift,fedtypo_noreg,ablate_g3,auprc,47,-0.00016538241480764
drift,fedtypo_noreg,ablate_g3,auprc,48,-2.576041489140042e-06
drift,fedtypo_noreg,ablate_g3,auprc,49,4.6605260511859824e-05
drift,fedtypo_noreg,ablate_g3,auprc,50,-5.221745719399991e-07
drift,fedtypo_noreg,ablate_g3,auprc,51,-3.900505828479837e-06
drift,fedtypo_noreg,ablate_random,auprc,42,-1.1377923224839808e-05
drift,fedtypo_noreg,ablate_random,auprc,43,-2.4886636391980134e-05
drift,fedtypo_noreg,ablate_random,auprc,44,3.0942585647797567e-06
drift,fedtypo_noreg,ablate_random,auprc,45,5.2304989452800054e-05
drift,fedtypo_noreg,ablate_random,auprc,46,0.0004820539179422802
drift,fedtypo_noreg,ablate_random,auprc,47,-0.00015071406075948006
drift,fedtypo_noreg,ablate_random,auprc,48,-1.3229415986959741e-05
drift,fedtypo_noreg,ablate_random,auprc,49,-9.225178303299934e-06
drift,fedtypo_noreg,ablate_random,auprc,50,-3.1562440370004954e-07
drift,fedtypo_noreg,ablate_random,auprc,51,2.6609048820140126e-05
drift,fedtypo_noreg,ablate_nommd,auprc,42,-3.3824324059798534e-06
drift,fedtypo_noreg,ablate_nommd,auprc,43,1.7483195404199327e-06
drift,fedtypo_noreg,ablate_nommd,auprc,44,-1.7250517209803102e-06
drift,fedtypo_noreg,ablate_nommd,auprc,45,-1.0187147289201278e-06
drift,fedtypo_noreg,ablate_nommd,auprc,46,0.00011752378155884002
drift,fedtypo_noreg,ablate_nommd,auprc,47,1.7199387068399762e-06
drift,fedtypo_noreg,ablate_nommd,auprc,48,0.0
drift,fedtypo_noreg,ablate_nommd,auprc,49,3.4928428276201004e-06
drift,fedtypo_noreg,ablate_nommd,auprc,50,-8.941885645801645e-07
drift,fedtypo_noreg,ablate_nommd,auprc,51,9.482124916021864e-08
drift,fedtypo_noreg,ablate_samplewt,auprc,42,6.519879682002558e-07
drift,fedtypo_noreg,ablate_samplewt,auprc,43,3.1454568885198268e-06
drift,fedtypo_noreg,ablate_samplewt,auprc,44,1.5441895227879827e-05
drift,fedtypo_noreg,ablate_samplewt,auprc,45,1.6790648140199748e-05
drift,fedtypo_noreg,ablate_samplewt,auprc,46,2.6218821282960204e-05
drift,fedtypo_noreg,ablate_samplewt,auprc,47,4.850091134999757e-06
drift,fedtypo_noreg,ablate_samplewt,auprc,48,-0.00031393792008987996
