condition,reference,comparison,metric,seed,difference
drift,fedtypo,fedproto,auprc,44,0.00082367555523574
drift,fedtypo,fedproto,auprc,45,0.0003946369598486399
drift,fedtypo,fedproto,auprc,46,0.0005814921197043201
drift,fedtypo,fedproto,auprc,47,-0.00041557204764902005
drift,fedtypo,fedproto,auprc,48,0.0007828172209435598
drift,fedtypo,fedproto,auprc,49,0.00200880425591378
drift,fedtypo,fedproto,auprc,50,0.00047833789377752
drift,fedtypo,fedproto,auprc,51,-0.00029965224474105953
drift,fedtypo,fedtypo_noreg,auprc,42,0.0
drift,fedtypo,fedtypo_noreg,auprc,43,0.00016769306757409997
drift,fedtypo,fedtypo_noreg,auprc,44,0.0007045498380801002
drift,fedtypo,fedtypo_noreg,auprc,45,0.00027028549063738
drift,fedtypo,fedtypo_noreg,auprc,46,0.0
drift,fedtypo,fedtypo_noreg,auprc,47,0.0004033611306502999
drift,fedtypo,fedtypo_noreg,auprc,48,0.0007549883651575
drift,fedtypo,fedtypo_noreg,auprc,49,0.0029674647740963195
drift,fedtypo,fedtypo_noreg,auprc,50,0.0004102162275474602
drift,fedtypo,fedtypo_noreg,auprc,51,0.0008463787705611601
drift,fedtypo,cda_fedavg,auprc,42,-8.272865535979834e-06
drift,fedtypo,cda_fedavg,auprc,43,0.00015642995693347997
drift,fedtypo,cda_fedavg,auprc,44,0.0007223777737239
drift,fedtypo,cda_fedavg,auprc,45,0.00025191248223584
drift,fedtypo,cda_fedavg,auprc,46,0.0005021926201933999
drift,fedtypo,cda_fedavg,auprc,47,0.00025207755471139993
drift,fedtypo,cda_fedavg,auprc,48,0.0005425340429171198
drift,fedtypo,cda_fedavg,auprc,49,0.00293100621433274
drift,fedtypo,cda_fedavg,auprc,50,0.0004110509430813804
drift,fedtypo,cda_fedavg,auprc,51,0.0008868558167296004
