typ,positives,captured,capture_rate,mean_score
0,932,3,0.003218884120171674,0.369472
1,1334,0,0.0,0.31408057
2,345,7,0.020289855072463767,0.38882867
3,1870,0,0.0,0.35339436
4,394,10,0.025380710659898477,0.3893256
5,656,1,0.001524390243902439,0.35030386
6,529,0,0.0,0.37120208
7,338,0,0.0,0.34405357
8,382,0,0.0,0.34550524
9,364,1,0.0027472527472527475,0.37019432
10,506,0,0.0,0.36688215
11,54,1,0.018518518518518517,0.34767014
12,945,2,0.0021164021164021165,0.37702397
13,250,2,0.008,0.35679135
14,383,0,0.0,0.35367
15,354,0,0.0,0.36851212
16,237,0,0.0,0.37310097
