window,transactions,positives,prevalence,positive_clients
0,488280,455,0.000931842385516507,5
1,500395,319,0.0006374963778614895,5
2,507494,430,0.0008473006577417664,5
3,491212,435,0.0008855646849018346,5
4,499643,427,0.0008546101916768572,5
5,497297,458,0.0009209788114547242,5
6,505960,422,0.0008340580283026326,5
7,547150,608,0.001111212647354473,5
8,526675,484,0.0009189728010632743,5
9,495345,574,0.0011587883192522384,5
10,505164,455,0.0009006975952363985,5
11,515290,637,0.0012361970928991442,5
12,498191,608,0.001220415463145661,5
13,506031,445,0.0008793927644749037,5
14,500429,702,0.0014027964006882096,5
15,514277,547,0.0010636291337158769,5
16,500675,682,0.001362161082538573,5
17,491885,518,0.0010530916779328502,5
18,413459,667,0.0016132192067411762,5
