client,0,1,2,3,4,5,6,7,8
0,3,28,47,18,40,16,109,65,5
1,185,11,4,242,122,17,2,39,33
2,1,45,32,166,16,6,5,143,1553
3,13,41,296,18,20,76,33,147,123
4,58,104,42,0,9,22,67,3,497
