window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0006899777940918726,1.3972754527547913,0.0,5,5,393,754434,0.0005209203190736367
2,0.007971672559454695,4.276570975623551,0.016,5,5,358,207349,0.0017265576395352762
3,0.010546889844302286,5.763321033646429,0.016,5,5,381,207404,0.0018369944649090663
4,0.004791237459987052,5.4271038231047966,0.016,5,5,427,482606,0.0008847797167876073
5,0.012287097523264434,11.446149646624828,0.04,5,5,540,482098,0.0011201042111769807
6,0.008093032965388753,7.97919457733155,0.012,5,5,507,482761,0.0010502091096836737
7,0.012797097741079604,11.108807551447574,0.02,5,5,577,482811,0.0011950846190331207
8,0.003924779735121906,4.845335368115795,0.02,5,5,551,654504,0.0008418588732841969
9,0.015390813954577118,6.723307860809993,0.024,5,5,476,208359,0.002284518547314971
