window,client,budget,precision,recall
7,3,50,0.06,0.03409090909090909
7,3,100,0.03,0.03409090909090909
7,3,200,0.02,0.045454545454545456
7,4,10,0.0,0.0
7,4,25,0.0,0.0
7,4,50,0.02,0.007874015748031496
7,4,100,0.02,0.015748031496062992
7,4,200,0.025,0.03937007874015748
8,0,10,0.1,0.00980392156862745
8,0,25,0.04,0.00980392156862745
8,0,50,0.02,0.00980392156862745
8,0,100,0.02,0.0196078431372549
8,0,200,0.02,0.0392156862745098
8,1,10,0.1,0.011235955056179775
8,1,25,0.08,0.02247191011235955
8,1,50,0.04,0.02247191011235955
8,1,100,0.02,0.02247191011235955
8,1,200,0.03,0.06741573033707865
8,2,10,0.0,0.0
8,2,25,0.0,0.0
8,2,50,0.0,0.0
8,2,100,0.01,0.006622516556291391
8,2,200,0.015,0.019867549668874173
8,3,10,0.0,0.0
8,3,25,0.0,0.0
8,3,50,0.0,0.0
8,3,100,0.0,0.0
8,3,200,0.005,0.011627906976744186
8,4,10,0.1,0.008130081300813009
8,4,25,0.04,0.008130081300813009
8,4,50,0.02,0.008130081300813009
8,4,100,0.01,0.008130081300813009
8,4,200,0.005,0.008130081300813009
9,0,10,0.0,0.0
9,0,25,0.0,0.0
9,0,50,0.0,0.0
9,0,100,0.0,0.0
9,0,200,0.0,0.0
9,1,10,0.0,0.0
9,1,25,0.04,0.010416666666666666
9,1,50,0.02,0.010416666666666666
9,1,100,0.02,0.020833333333333332
9,1,200,0.025,0.052083333333333336
9,2,10,0.0,0.0
9,2,25,0.04,0.009259259259259259
9,2,50,0.04,0.018518518518518517
9,2,100,0.03,0.027777777777777776
9,2,200,0.015,0.027777777777777776
9,3,10,0.0,0.0
9,3,25,0.0,0.0
9,3,50,0.02,0.012048192771084338
9,3,100,0.01,0.012048192771084338
9,3,200,0.025,0.060240963855421686
9,4,10,0.0,0.0
9,4,25,0.0,0.0
9,4,50,0.02,0.010101010101010102
9,4,100,0.01,0.010101010101010102
9,4,200,0.03,0.06060606060606061
