client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
1,2,5,1.0,1,20,1,0.05
1,2,5,1.0,3,63,1,0.015873015873015872
1,2,5,1.0,-1,102,2,0.0196078431372549
4,2,7,2.0,1,23,0,0.0
4,2,7,2.0,3,79,0,0.0
4,2,7,2.0,-1,79,0,0.0
